scenario,iso3c,SSP,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
default,ALB,SSP2,pop,million,3.011487,2.913021,2.880703,2.837743,2.79891072736842,2.71763126283094,2.60443412593119,2.4725374619994,2.33034105857939,2.18224480438458,2.03174861089153,1.88135241486924,1.7335561530867,1.58965979266378,1.45066330830807,1.31816665955173,1.19406979833919,1.07707275755058,0.969975466367153,0.872677927318159
default,ALB,SSP3,pop,million,3.011487,2.913021,2.880703,2.837743,2.79891072736842,2.8174422166043,2.82908688705599,2.82198647824399,2.8059868903876,2.7872418111239,2.76840205974271,2.74918361989154,2.72835575404299,2.70724387184196,2.68679469446338,2.66823895943466,2.65233404369577,2.64106806171405,2.63765986548429,2.64315084829891
default,ALB,SSP4,pop,million,3.011487,2.913021,2.880703,2.837743,2.79891072736842,2.6989644555649,2.5624464786005,2.40962331299271,2.24596377977722,2.0744048383991,1.90061785882126,1.72764107495241,1.56053820997372,1.39930926388519,1.24466315793218,1.09690371550557,0.959879366223045,0.833185012230111,0.718744868335614,0.618078051493906
default,ALB,SSP5,pop,million,3.011487,2.913021,2.880703,2.837743,2.79891072736842,2.62943156586506,2.41707370399644,2.20304290968573,1.98681639154477,1.77707248661693,1.57778440945219,1.39386639909922,1.22605036350142,1.07506821060222,0.939037891404251,0.81576368207727,0.705663815731799,0.607588151313896,0.523627854376182,0.451482642810773
default,AND,SSP1,gdp,million constant 2017 Int$PPP,4935.76575806405,4354.47582436548,4214.14385451941,4517.47383217106,4813.45130951976,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426
default,AND,SSP2,gdp,million constant 2017 Int$PPP,4935.76575806405,4354.47582436548,4214.14385451941,4517.47383217106,4813.45130951976,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426
default,AND,SSP3,gdp,million constant 2017 Int$PPP,4935.76575806405,4354.47582436548,4214.14385451941,4517.47383217106,4813.45130951976,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426
default,AND,SSP4,gdp,million constant 2017 Int$PPP,4935.76575806405,4354.47582436548,4214.14385451941,4517.47383217106,4813.45130951976,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426
default,AND,SSP5,gdp,million constant 2017 Int$PPP,4935.76575806405,4354.47582436548,4214.14385451941,4517.47383217106,4813.45130951976,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426,4794.43162575426
default,AND,SSP1,pop,million,0.078871,0.084454,0.077993,0.077265,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416
default,AND,SSP2,pop,million,0.078871,0.084454,0.077993,0.077265,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416
default,AND,SSP3,pop,million,0.078871,0.084454,0.077993,0.077265,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416
default,AND,SSP4,pop,million,0.078871,0.084454,0.077993,0.077265,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416,0.0782684415584416
