country,year,scenario,hdd_DegreesC,cdd_DegreesC,population_Mio,gdp_per_capita_USD,gdp_growth_rate_Percent,ln_pop,ln_gdp_pc,panel_predictions,ln_total_floor,ln_thermal_index,total_floor_m2,thermal_index,ln_hdd,ln_cdd
Croatia,2027,VNI,1802.0433070833333,351.06883208333335,3.875123,47352.36,3.0048245534515905,1.5841453349007508,10.765393057025866,11.508396569790035,19.106368200291435,4.955028793417951,198513605.09297377,140.88669171695904,7.497231242373165,5.863826702172818
Croatia,2028,VNI,1902.3759058333333,161.82252791666667,3.87025,48828.11,2.9868590246300064,1.5831452704791764,10.7960819303895,11.253938829997098,19.113208389931422,4.9425951502983,199876130.4582078,139.13344543494586,7.551384381069805,5.092660821861609
Croatia,2029,VNI,1944.3625904166668,199.31660916666667,3.861586,50350.26,2.8865240715973295,1.5813647221244789,10.826778922659807,10.993856464278164,19.119067892260645,4.930852247117414,201050743.0779952,137.49749614900097,7.573203660486215,5.299899160685135
Croatia,2030,VNI,1675.7794633333333,442.75177333333335,3.849276,51910.67,2.770449805475095,1.5788294154557545,10.857298899369102,10.613536393032266,19.123928900347153,4.919810023023355,202030431.5784984,135.97658831636463,7.424630246516734,6.095265337025772
Croatia,2035,VNI,1787.33846625,194.2392325,3.752962,59563.69,1.948681842957778,1.5587680026493551,10.994818227821362,10.746404111991081,19.13487910249934,4.9042191951185545,204254862.4127696,133.85757143764943,7.489042236616242,5.274225639952011
Croatia,2040,VNI,1889.4414133333332,294.17187083333334,3.648026,66067.42,1.255978466110652,1.5364426133377516,11.098446150707412,10.822032652583005,19.13401621160484,4.897290354221827,204078688.77122104,132.92639449526948,7.544565632812877,5.687557799681111
Croatia,2045,VNI,1600.7759195833337,164.990155,3.542619,71401.37,0.8655800201038399,1.5135037179731214,11.176086341054102,10.633984143263488,19.13315438368207,4.890327483842553,203902883.82562003,131.99712132871994,7.37886824242868,5.111928479368884
Croatia,2050,VNI,1719.91525625,362.89098916666666,3.441967,76342.01,0.7502885388018354,1.4910972963586426,11.242991754392763,10.617329998946586,19.132293617701293,4.8833301909975955,203727446.67497805,131.06974985198133,7.450611554005554,5.896854342472202
Croatia,2055,VNI,1377.18958625,468.2559125,3.349029,81683.97,0.8282482171757977,1.469952601792855,11.31062529819605,10.360410270340612,19.13143391263228,4.876298075736487,203552376.4206899,130.1442779747342,7.228526022843189,6.151148275280687
Croatia,2060,VNI,1820.43587875,156.28756375,3.265212,87369.46,0.8215093628573422,1.450491886625059,11.377912518243372,10.484936761123809,19.13057526744427,4.869541033534712,203377672.1665272,129.2611176898427,7.507380413385956,5.058075746226754
