,country,year,scenario,share_pu,Total_Heat_TJ_ML,COP,Demand_HP_TWh
669,Croatia,2050,VWE,0.24583447848563816,56824.723,4.3,0.9024209827692942
670,Croatia,2055,VWE,0.2795046625771788,56746.414,4.3,1.0246051190245862
671,Croatia,2060,VWE,0.2971179668461887,56746.414,4.3,1.0891717761621282
672,Czechia,2025,VWE,0.07349596710465384,252411.48,3.5,1.472319585752313
673,Czechia,2026,VWE,0.07586773110243228,252411.48,3.5,1.5198323231755653
674,Czechia,2027,VWE,0.07860938859464395,252411.48,3.5,1.574755010531457
675,Czechia,2028,VWE,0.08176711247445684,252411.48,3.5,1.6380126136054616
676,Czechia,2029,VWE,0.08538883303836078,252411.48,3.5,1.710565303643063
677,Czechia,2030,VWE,0.08952281662102797,248276.23,3.5,1.7639990648078936
678,Czechia,2035,VWE,0.11929732979194888,253026.8,3.5,2.395668473180705
679,Czechia,2040,VWE,0.1646109898936523,251637.56,3.5,3.2874847632080493
680,Czechia,2045,VWE,0.21623374733296494,251637.56,3.5,4.3184549835205965
681,Czechia,2050,VWE,0.2587678283354893,221538.73,3.5,4.549769807245692
682,Czechia,2055,VWE,0.28541253856223325,242546.19,3.5,5.494104888478517
683,Czechia,2060,VWE,0.29935072752809483,241518.56,3.5,5.737996940639566
684,Denmark,2025,VWE,0.10378562280311761,144214.72,3.3,1.2598834461584012
685,Denmark,2026,VWE,0.10535386759478112,148310.38,3.3,1.3152417267312266
686,Denmark,2027,VWE,0.10716669133555526,148310.38,3.3,1.3378730878906082
687,Denmark,2028,VWE,0.10925462421280042,148310.38,3.3,1.3639389220688956
688,Denmark,2029,VWE,0.11164935843446962,135464.86,3.3,1.273111498211042
689,Denmark,2030,VWE,0.11438280840184105,135464.86,3.3,1.304280388315213
690,Denmark,2035,VWE,0.13407014881528417,135464.86,3.3,1.5287705224368553
691,Denmark,2040,VWE,0.16403219879676167,139250.92,3.3,1.9226966002075103
692,Denmark,2045,VWE,0.1981659155414885,138022.52,3.3,2.3023029061384737
693,Denmark,2050,VWE,0.22629006746507008,119997.7,3.3,2.2857144854545464
694,Denmark,2055,VWE,0.24390793672930275,134349.66,3.3,2.7583290758676067
695,Denmark,2060,VWE,0.2531240696461563,139196.75,3.3,2.9658289402878513
696,Estonia,2025,VWE,0.0005649317048429772,33876.965,3.3,0.0016109571661126112
697,Estonia,2026,VWE,0.001220028556384666,33983.62,3.3,0.0034899821437084683
698,Estonia,2027,VWE,0.001977292429533867,34885.96,3.3,0.005806376190569007
699,Estonia,2028,VWE,0.0028494765817686737,29767.97,3.3,0.007139994643255978
700,Estonia,2029,VWE,0.003849819676949974,29029.438,3.3,0.009407247988328316
701,Estonia,2030,VWE,0.0049916531948998805,29100.373,3.3,0.012227186047520634
702,Estonia,2035,VWE,0.013215570014923572,28391.18,3.3,0.03158296507439352
703,Estonia,2040,VWE,0.02573150165578705,26739.293,3.3,0.0579160100162117
704,Estonia,2045,VWE,0.03999004757269534,26523.584,3.3,0.08928277911140754
705,Estonia,2050,VWE,0.05173824114257499,26378.104,3.3,0.11487850816688791
706,Estonia,2055,VWE,0.059097685756849434,26523.584,3.3,0.1319429694058884
707,Estonia,2060,VWE,0.06294750543379941,25846.553,3.3,0.13695084999440463
708,Finland,2025,VWE,0.16577332174701834,185136.27,3.3,2.5833884665931524
709,Finland,2026,VWE,0.16593441693557967,185136.27,3.3,2.585898951680663
710,Finland,2027,VWE,0.16612063606661132,183991.83,3.3,2.572797929083606
711,Finland,2028,VWE,0.1663351152999244,183516.39,3.3,2.5694630103167984
712,Finland,2029,VWE,0.1665811101618521,183516.39,3.3,2.57326301789374
713,Finland,2030,VWE,0.16686189900314619,183516.39,3.3,2.5776005057423763
714,Finland,2035,VWE,0.1688842464281363,182508.8,3.3,2.5945168851697424
715,Finland,2040,VWE,0.17196204532605608,176547.9,3.3,2.555516913764186
716,Finland,2045,VWE,0.17546837135661045,167715.17,3.3,2.477163954734598
717,Finland,2050,VWE,0.17835737540836388,176547.9,3.3,2.650557503467884
718,Finland,2055,VWE,0.18016714004858947,177363.34,3.3,2.6898188134294485
719,Finland,2060,VWE,0.1811138510964687,172836.19,3.3,2.6349349574760765
720,France,2025,VWE,0.1488383575768974,1.3072112e+06,4.0,13.511332436391646
721,France,2026,VWE,0.15310209902080235,1.4563234e+06,4.0,15.48376151318262
722,France,2027,VWE,0.1580308013223318,1.467334e+06,4.0,16.10305314987994
723,France,2028,VWE,0.16370746990629612,1.3170945e+06,4.0,14.97348689860933
724,France,2029,VWE,0.17021826949724367,1.3055705e+06,4.0,15.432774626690357
725,France,2030,VWE,0.17764996891858179,1.3055705e+06,4.0,16.106566826561554
726,France,2035,VWE,0.23117587870465642,1.2984024e+06,4.0,20.84439661072952
727,France,2040,VWE,0.31263665251335915,1.2984024e+06,4.0,28.1894565149025
728,France,2045,VWE,0.40543934727928665,1.2224971e+06,4.0,34.42003185980814
729,France,2050,VWE,0.481903246772972,1.212114e+06,4.0,40.564005053117164
730,France,2055,VWE,0.5298026816918836,1.212114e+06,4.0,44.595920034191245
731,France,2060,VWE,0.5548594891998766,1.2145695e+06,4.0,46.79968355926964
732,Germany,2025,VWE,0.04204360894296985,1.9247724e+06,4.0,5.619748442533894
733,Germany,2026,VWE,0.049093258404699636,1.9524355e+06,4.0,6.656348723797885
734,Germany,2027,VWE,0.05724235092921768,1.9524355e+06,4.0,7.761249954401351
735,Germany,2028,VWE,0.06662812728405958,1.9524355e+06,4.0,9.033827951697688
736,Germany,2029,VWE,0.07739305180765299,1.9216599e+06,4.0,10.32799506343947
