freq,indic_bt,cpa2_1,s_adj,unit,geo\TIME_PERIOD,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,BPRM_DW,CPA_F410011,NSA,I21,NO,,,,,,,,,108.5,99.4,85.7,76.5,88.7,101.9,103.4,102.3,102.0,95.8,90.5,103.9,107.4,109.0,98.4,106.5,117.7,107.9,102.0,92.5,90.7,100.0,88.3,65.7,56.6,58.8
A,BPRM_DW,CPA_F410011,NSA,I21,PL,,,,,,,,,50.8,58.1,27.7,44.0,39.7,39.7,49.1,72.2,73.5,65.3,64.2,62.2,54.7,48.3,47.2,52.8,59.4,66.1,71.2,75.8,79.8,100.0,74.9,58.4,64.7,70.6
A,BPRM_DW,CPA_F410011,NSA,I21,PT,,,,202.5,203.5,222.5,247.3,271.6,273.2,271.1,265.4,235.6,213.1,210.6,200.0,182.4,149.8,109.1,101.1,83.7,58.7,41.3,38.0,43.6,52.1,62.7,80.0,85.4,89.1,100.0,104.2,92.3,98.5,102.5
A,BPRM_DW,CPA_F410011,NSA,I21,RO,,,,,,,,,64.8,71.7,63.2,56.9,71.0,90.1,104.9,114.2,122.8,99.9,85.9,80.4,76.6,76.4,75.2,77.0,74.8,78.0,81.6,81.9,80.4,100.0,85.0,68.5,69.7,72.4
A,BPRM_DW,CPA_F410011,NSA,I21,RS,,,,,,,,,28.4,38.1,25.4,36.7,36.5,39.7,37.8,55.2,56.2,50.1,39.3,41.6,43.1,40.0,39.0,48.0,42.7,61.3,62.0,64.5,71.9,100.0,101.1,93.9,96.7,98.2
A,BPRM_DW,CPA_F410011,NSA,I21,SE,,,,,25.3,31.6,36.5,43.9,49.3,43.2,45.0,56.3,63.1,71.0,82.3,79.1,63.2,53.7,61.6,52.1,40.0,43.2,55.3,66.8,82.9,81.5,67.5,70.3,76.3,100.0,82.4,40.8,37.9,40.2
A,BPRM_DW,CPA_F410011,NSA,I21,SI,,,,,,,,,108.0,95.3,97.1,104.1,105.1,120.9,134.8,146.4,135.0,119.2,99.3,90.8,84.7,92.0,85.0,89.4,94.2,97.5,100.2,90.9,89.4,100.0,104.0,92.7,85.1,86.4
A,BPRM_DW,CPA_F410011,NSA,I21,SK,,,,,,,,,,,,49.6,62.1,54.7,57.3,69.8,95.0,77.6,68.3,67.2,65.1,64.1,66.8,77.9,90.1,96.2,102.9,98.3,93.9,100.0,91.6,69.1,56.3,53.0
A,BPRM_DW,CPA_F410011,NSA,I21,TR,86.3,88.2,87.2,80.5,71.1,72.3,64.7,53.3,44.0,44.4,26.9,27.1,39.6,59.8,51.6,43.6,40.0,34.2,47.0,38.9,35.3,42.4,45.8,41.4,40.8,47.4,41.1,30.6,61.6,100.0,96.8,104.7,94.2,105.7
A,BPRM_DW,CPA_F410011,NSA,I21,UA,,,,,,,,,,,,,,,,,,,,,,,,,,,111.6,94.4,83.2,100.0,50.1,80.5,89.3,108.2
A,BPRM_DW,CPA_F410011,NSA,I21,XK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1,100.0,78.0,90.5,94.5,
A,BPRM_DW,CPA_F410011,NSA,PCH_SM,AL,,,,,,,,,,,,,,,,,,,,,,,,,573.8,65.7,45.8,-33.8,17.7,87.6,3.5,37.7,-52.0,6.9
A,BPRM_DW,CPA_F410011,NSA,PCH_SM,AT,,,,,,,,,,-8.7,21.2,-6.3,8.4,0.6,7.6,-1.8,-4.2,-6.3,10.2,3.5,-12.5,0.6,4.5,-0.1,6.4,-1.5,3.3,0.5,3.6,9.5,-19.6,-37.3,-13.3,9.6
A,BPRM_DW,CPA_F410011,NSA,PCH_SM,BA,,,,,,,,,,,,,,,,,,,,,,,-9.5,15.2,15.0,11.9,0.6,7.0,-14.7,8.5,7.7,14.9,,
A,BPRM_DW,CPA_F410011,NSA,PCH_SM,BE,,,,,17.4,1.6,-28.2,16.4,-11.1,-6.0,-6.4,6.2,10.3,11.5,-3.6,-10.3,0.7,-9.4,11.9,-14.2,4.4,-4.2,4.5,-14.5,6.1,-4.5,24.2,0.9,3.9,12.7,-9.0,-12.4,-17.4,0.2
