nuts0,country,year,tas_annual,hdd_annual,cdd_annual,tasmax_max,tasmax_mean,tasmax_min,tasmin_max,tasmin_mean,tasmin_min
HR,Croatia,1971,285.13199910977625,2039.7347278205648,184.40391096221254,307.45482005339153,288.64663946250624,268.50906148038825,296.21160769395976,281.9432317441725,261.4001210131277
HR,Croatia,1972,285.5590160671071,1806.3040341387014,100.23203278523002,304.82410460891435,288.95624816272954,268.6616918758088,295.1874095304373,282.5168496035303,262.1214503790138
HR,Croatia,1973,285.55269778492783,1855.2721714008578,158.08424630298012,305.0598618367285,289.0370460655255,273.0299220021988,295.2024059115255,282.40845869391205,267.7359131108039
HR,Croatia,1974,285.34969463791964,1980.9752580444604,178.11339631800547,305.60843782033845,288.9018645073452,269.4758548882776,295.2081269845521,282.1916177502714,264.6505122067935
HR,Croatia,1975,284.63969219107076,2198.017713367749,162.87912870113905,305.4662463416693,288.2676205678105,266.26208959935053,296.014612543661,281.3830073151746,258.42709678561516
HR,Croatia,1976,284.79760100938495,2104.1611029410433,118.75436629733997,303.8088411587875,288.28790993185754,268.6245559009933,294.2374267700458,281.64167548204676,260.0111178685976
HR,Croatia,1977,284.4553513860893,2097.566417085026,98.98962017066017,304.03010353593567,287.90568538194253,265.62588785359577,295.05788052294065,281.34833539777827,258.0677735583339
HR,Croatia,1978,285.4906408293796,2068.229810948087,239.04041525826514,306.62269723265615,289.1723470865689,270.15812037313367,296.69031967121737,282.18055506842376,263.727127849255
HR,Croatia,1979,286.35584155349585,1811.5937097192186,285.04773134558366,308.30067148431203,290.1818114405438,268.9368806357259,297.46909075691565,282.92207733772204,263.65848417198157
HR,Croatia,1980,285.9950894682357,1748.0365916782466,170.02106729716215,305.08740355979376,289.52632505547865,267.5741807388049,295.21614650626884,282.8409522323519,261.3053632507863
HR,Croatia,1981,285.7119833391324,1872.675344209962,177.31681846217157,306.95596964513413,289.4668405683328,268.477907111978,296.02293154907744,282.3917773290701,263.54057603508505
HR,Croatia,1982,285.80895121376716,1796.7561333849344,153.44714695417076,304.8948582977142,289.54030928935566,267.24689164820325,295.2717132100765,282.46380344470936,259.1967233125961
HR,Croatia,1983,285.75479899772733,1717.0399324094833,138.50514435440957,308.61519717154613,289.2624788660915,274.8305133930048,297.41503927007614,282.6382733601718,270.92629110473973
HR,Croatia,1984,284.95323761163013,2036.548319461905,131.8436576441147,304.68965124150145,288.45975021673183,266.2848821834572,295.4172107586251,281.8228209690225,258.4443214780411
HR,Croatia,1985,285.50333608368504,1899.9985296665516,154.77690127268903,304.69855951845983,289.1162946435909,272.40571059322303,294.9581135239609,282.31792875305086,266.27212998047935
HR,Croatia,1986,286.1760282191485,1749.6058938073613,208.3863740575262,305.364022341878,289.8060993500908,270.27980317500845,295.8327597056381,282.91803356724193,261.43671596778245
HR,Croatia,1987,285.69469037210075,1879.5292342597463,186.0159470703091,305.54149030867904,289.3505761682061,265.68708665317007,295.74173886146195,282.4371933037541,257.2876298000165
HR,Croatia,1988,285.5941277806443,1875.1096168075678,147.82430782203977,304.73892408212566,288.9902973008643,272.3727302983158,295.99299446630914,282.5928427323753,267.430894349901
HR,Croatia,1989,285.49425606534453,1738.5116350547282,82.81720649099933,303.0290035650654,288.803571221129,271.15449146409253,293.5248905400069,282.4904774295395,263.61727178895904
HR,Croatia,1990,285.0406766724634,1947.345517636787,106.44144552182476,303.9866312092753,288.28506199063645,271.24837691353696,294.3514454667853,282.11681185328246,265.93101214508613
HR,Croatia,1991,284.9610585295121,1986.7406168495304,116.04969443247667,303.28074448872684,288.30537129663946,267.81188661211866,294.7436305163438,281.9488000671936,261.4862935107123
HR,Croatia,1992,285.3141747286439,1966.8398502136854,161.46462824309413,305.71581556249225,288.8544022743663,270.35003513037304,295.0080927110391,282.12196755656555,264.0897130794466
HR,Croatia,1993,285.34915240824154,1926.2806310776105,158.50562357602615,305.4265368463466,288.89100797979495,270.35355781513056,295.23819684102307,282.14880782666546,262.19806783191
HR,Croatia,1994,285.8020249850164,1768.0455508974615,140.14404716445395,305.93356110876056,289.3166027000099,268.2224283694478,295.1719206802427,282.61980738607525,261.47243064802745
HR,Croatia,1995,285.27576912177756,1959.6218788086044,182.7856180066342,306.6716277594778,288.7210089589787,268.57067643228464,296.42989391850244,282.13510449802243,261.9876200728604
HR,Croatia,1996,284.8576973167666,2022.0253710520124,130.99807056969055,303.88243765475204,288.20940266680077,270.2996403437937,295.03578110217916,281.7886891138811,264.54486394502226
HR,Croatia,1997,285.1614614018181,1936.0447420057094,112.21757248688522,304.77757713925337,288.6537451697608,270.4596395419666,294.38945496596716,282.0121041561994,264.6047451152539
HR,Croatia,1998,286.3222201854213,1628.9070030898042,154.09710240654596,305.14677600730363,289.84226773845137,273.3908162837714,296.07627584329396,283.2046217218215,267.99769275959943
