nuts0,country,year,hdd_annual,cdd_annual,tas_annual
FI,Finland,1955,5923.895990402388,3.454442734933618,272.6482212360381
FI,Finland,1956,5208.554590892588,4.020814402351554,274.7082188938425
FI,Finland,1957,5183.338220466847,18.68857520669859,274.9085973982889
FI,Finland,1958,4870.613627199281,6.073924953043047,275.6119743154618
FI,Finland,1959,5201.0598788553225,16.621266083181656,274.8356383325191
FI,Finland,1960,5367.555315497499,2.0809648460764643,274.16752745020347
FI,Finland,1961,5563.941868516842,2.1046726068610155,273.5818001463206
FI,Finland,1962,5147.519325544121,3.3590131208324623,274.7845643485539
FI,Finland,1963,5175.361860831128,3.4434867778159273,274.69974015094556
FI,Finland,1964,5039.088277568424,16.66468885441019,275.3343124198583
FI,Finland,1965,4694.214204844819,11.82409800640825,276.10949093178203
FI,Finland,1966,5161.191459053474,9.90392542677834,274.9087379969334
FI,Finland,1967,5476.505199416761,1.9340258848945602,273.8603122926778
FI,Finland,1968,6341.9275698153415,10.096910702420612,271.6472235941619
FI,Finland,1969,6492.400043969811,10.169630010450952,271.1947486534592
FI,Finland,1970,5270.436194509739,3.127167996099114,274.38434037147647
FI,Finland,1971,4686.440852158674,5.466024049047121,276.059072907735
FI,Finland,1972,5129.797826006641,37.8411283373318,275.36670653426677
FI,Finland,1973,4930.180905158297,5.646482633873152,275.4646317400483
FI,Finland,1974,4185.855657712615,14.718560606549328,277.6508196235994
FI,Finland,1975,5317.202799594848,15.081772330342252,274.4784902649589
FI,Finland,1976,5377.870874953646,34.16975084921922,274.60221836160935
FI,Finland,1977,4878.026547420113,9.193234620598005,275.7170705238819
FI,Finland,1978,4558.3727123516155,30.926645930187508,276.707775590976
FI,Finland,1979,4820.899552322666,8.095160942627425,275.75912139758873
FI,Finland,1980,5117.789513667825,4.649567160154247,274.9413151439659
FI,Finland,1981,4089.4687862540727,11.978543406407416,277.88242460964403
FI,Finland,1982,4629.262156656552,11.498419601023988,276.3739591393397
FI,Finland,1983,4429.505126239461,1.2218735093303243,276.6828216801562
FI,Finland,1984,4778.604000661603,4.027651902332423,275.9068583195522
FI,Finland,1985,4529.645105521675,13.631479259183832,276.68666022559114
FI,Finland,1986,4970.901743319882,20.355432281602713,275.61180265450537
FI,Finland,1987,4482.6846273673855,3.873058011112896,276.6286876896723
FI,Finland,1988,4695.640900777242,7.918907192873461,276.19619976033397
FI,Finland,1989,4861.011223895182,22.29772802775663,275.8836336655587
FI,Finland,1990,4890.330549689824,18.547222025091763,275.776493158314
FI,Finland,1991,4998.676028494385,10.713897152402435,275.258918545386
FI,Finland,1992,5309.652825427863,15.777782209088894,274.57893572813884
FI,Finland,1993,5060.823491282374,3.7729878229359324,275.0285053483641
FI,Finland,1994,5523.472877078117,9.680844111465273,273.9465886253376
FI,Finland,1995,4885.979554965012,6.463510344020794,275.5936802818267
FI,Finland,1996,5381.918244333817,14.234913901656515,274.39718498985576
FI,Finland,1997,5334.629354135806,3.8529104736250464,274.2899390064483
FI,Finland,1998,5409.422230761542,29.168620666859745,274.4542155903103
FI,Finland,1999,4840.296601176189,2.6341188841018788,275.6076092577725
FI,Finland,2000,4552.077612206984,4.688484388403242,276.46530493806773
FI,Finland,2001,5293.506367972857,3.1290675114045285,274.42804113475154
FI,Finland,2002,4266.926332739778,5.678478713467156,277.29039339139365
FI,Finland,2003,5239.535453019142,12.31470488691022,274.59366443815344
FI,Finland,2004,4858.842328983288,4.1700385837679885,275.6344774287094
FI,Finland,2005,4781.243907967305,2.9060282314299863,275.78155338756915
FI,Finland,2006,4571.015076392226,2.072405436529276,276.3865281434149
FI,Finland,2007,4571.928177396314,9.230136305379267,276.52736628860623
FI,Finland,2008,4673.198600259479,3.4848954493309643,276.1217779971761
FI,Finland,2009,4491.521257964311,15.085785516949441,276.8326212298523
FI,Finland,2010,5247.221929863136,37.59157294405241,274.99737748058874
FI,Finland,2011,4348.1782099335915,24.410922269406424,277.2709950491121
FI,Finland,2012,4488.346500345147,2.7732136426897487,276.65164119363124
FI,Finland,2013,4463.962796546367,24.544283598757616,276.97279164641463
FI,Finland,2014,4504.194347873172,6.447394227771644,276.6908623758052
FI,Finland,2015,4724.331159743634,12.486078794400136,276.12028774817634
FI,Finland,2016,4974.219841189611,20.739694915484677,275.5224630355432
FI,Finland,2017,5041.048727291133,9.008657138629932,275.1986078568
FI,Finland,2018,4567.659040682403,14.840281957789259,276.6665819104318
FI,Finland,2019,4362.506740176742,20.708843483563214,277.31198361504835
FI,Finland,2020,5169.103032489493,11.509340029011685,274.8740978137255
FI,Finland,2021,4902.358850876228,21.362781440003964,275.77453540602363
FI,Finland,2022,4240.464420050686,7.919490795976568,277.4129978109098
FI,Finland,2023,4102.060820097848,9.6262855192013,277.92562517520435
FI,Finland,2024,4627.807617943412,2.228182575826543,276.24943495517203
FI,Finland,2025,4710.484351242258,5.196213646091496,276.0192133079929
FI,Finland,2026,4565.102358424744,22.26918243037776,276.64840429955603
FI,Finland,2027,5093.914709040231,0.38986570766560613,274.8077994729893
FI,Finland,2028,4784.295952086133,8.175081594565786,275.9853529807367
FI,Finland,2029,4314.131021756958,11.169328532225098,277.2838889325135
FI,Finland,2030,4274.513759888119,15.513535721922363,277.4055525547658
FI,Finland,2031,3919.0532479898334,4.025482299208543,278.2130196973611
FI,Finland,2032,4705.38871990663,7.553638206736517,276.1746565480893
FI,Finland,2033,4735.635080666985,12.968422347174993,276.0616697868462
FI,Finland,2034,4204.597790424861,13.597984067983756,277.58396017508846
FI,Finland,2035,4556.3703570124035,20.484150985493066,276.7316693700952
FI,Finland,2036,4762.742419106837,21.56543041302613,276.20663675410117
FI,Finland,2037,4337.092869506335,0.9728419986237367,276.96980658605554
FI,Finland,2038,4272.515024339054,11.002141844965521,277.4113137033497
FI,Finland,2039,3808.4001745861224,44.97590108584338,279.1350790534669
FI,Finland,2040,4618.3390393185655,2.5024736439661326,276.3202535114375
FI,Finland,2041,4478.968756121134,10.404108134935107,276.8271822017807
FI,Finland,2042,4212.102944936428,21.438591929611256,277.74857912070695
FI,Finland,2043,4125.961955661216,18.055593418690265,277.88605646255405
FI,Finland,2044,4504.380423125218,26.062951811533335,276.92337253753686
FI,Finland,2045,4192.212900122505,6.924189487313275,277.65465600921
FI,Finland,2046,4724.065300073643,9.43424738791731,276.14153776007396
FI,Finland,2047,5005.082314652928,10.358021903420003,275.4008981562392
FI,Finland,2048,4471.414682534722,14.950315008546632,276.96533066686544
FI,Finland,2049,4826.0069441723645,36.199875636443416,276.11001049336954
FI,Finland,2050,4276.803825163155,10.790038617869849,277.34905015328695
FI,Finland,2051,4313.39653197415,13.016216414480134,277.3268268341595
FI,Finland,2052,4350.007211697604,11.277115783102959,277.20900031271907
FI,Finland,2053,5261.0635867587625,4.892771937749509,274.49447417250695
FI,Finland,2054,4047.208936006631,5.123930208109252,277.90673092900965
FI,Finland,2055,4779.2015757392755,5.8837474139547625,275.8560052977045
FI,Finland,2056,4384.1452393829695,5.973838016774657,276.9847322335403
FI,Finland,2057,4805.309332800114,6.602052290553742,275.8042090634919
FI,Finland,2058,4186.818773653844,4.959767443085055,277.51549951078823
FI,Finland,2059,4416.440133270571,26.07600163411541,277.09101993413265
FI,Finland,2060,4657.233913808663,18.872650960251164,276.4834621852578
FI,Finland,2061,4827.125822760321,3.5497693385717928,275.65493200932315
FI,Finland,2062,4047.494125321916,52.99487865975432,278.3418394495078
FI,Finland,2063,4172.45113419358,3.618972231381354,277.4618694217425
FI,Finland,2064,3976.8224283988784,23.60107124684101,278.4182322460567
FI,Finland,2065,3939.505767923106,4.906433521418242,278.1942547769645
FI,Finland,2066,3903.5159321687233,15.614207181696734,278.4967113515208
FI,Finland,2067,4200.829943845591,11.670826722446344,277.5948129072272
FI,Finland,2068,4876.007795555057,2.1658019199440397,275.5732380993767
FI,Finland,2069,4189.829674631484,8.679433648664169,277.62118266076834
FI,Finland,2070,4615.961097737081,17.175386666527444,276.53427933461
FI,Finland,2071,4039.9783611817097,28.547341323520264,278.2419104919168
FI,Finland,2072,4024.540073443117,10.28045965512491,278.1712978089473
FI,Finland,2073,4623.847139994736,4.579800826301651,276.2401905354633
FI,Finland,2074,4245.921881527078,5.143449414227662,277.3640637524479
FI,Finland,2075,4157.15858973065,1.0044525162935187,277.47809522047135
FI,Finland,2076,4498.62035756343,25.65526953262868,277.0487708803121
FI,Finland,2077,3990.038706597633,38.578834300568786,278.5268081090825
FI,Finland,2078,3863.009695535021,4.974903608011145,278.39541973951503
FI,Finland,2079,4601.168509589019,29.356746351287804,276.67534199893987
FI,Finland,2080,4534.322658498583,5.690724192000304,276.6160674254039
